albuterol	regular albuterol,1.0	clostridium difficile albuterol,1.0	albuterol nebulizes,1.0	pain albuterol nebulizes,1.0	albuterol pmh,1.0	foot pain albuterol,1.0	transfusion premedication albuterol,1.0	q2hr albuterol,1.0	tryed albuterol,1.0	water albuterol,1.0	albuterol butt,1.0	aware albuterol,1.0	straight albuterol,1.0	sfor albuterol,1.0	pain albuterol,1.0	albuterol q2h,1.0	post albuterol,1.0	albuterol x2,1.0	10pm albuterol,1.0	5mg albuterol due,1.0	dueoneb albuterol,1.0	albuterol c,1.0	q4h albuterol,1.0	albuterol 5mg,1.0	albuterol multiple,1.0	x3 albuterol,1.0	albuterol c resultant,1.0	1x albuterol,1.0	5mg albuterol,1.0	numerous albuterol,1.0	albuterol 5mg x2,1.0	albuterol due,1.0	tapia albuterol,1.0	10mgs albuterol,1.0	plain water albuterol,1.0	q6h albuterol,1.0	difficile albuterol,1.0	albuterol 5mg ad,1.0	daughter holding albuterol,1.0	albuterol and10mg,1.0	albuterol inhalents,1.0	headache albuterol,1.0	plain albuterol,1.0	albuterol mixed,1.0	albuterol 1atrovent,1.0	albuterol q4hour,1.0	reports albuterol,1.0	albuterol q12h,1.0	sperate albuterol,1.0	albuterol,1.0	
endotracheal tube	nephrotomy tube,1.0	tube 24cm,1.0	tube history,1.0	jej tube,1.0	anfd tube,1.0	kings tube,1.0	8et tube,1.0	tube downsizing,1.0	perfit tube,1.0	including tube,1.0	tube feds,1.0	3rd tube,1.0	gj tube,1.0	tube.,1.0	comi tube,1.0	cholecystotomy tube,1.0	tube 22at,1.0	8et tube 22at,1.0	tube tamper,1.0	tube 26in,1.0	tube gerd cva,1.0	tube thoracostomy,1.0	tube abnormality,1.0	fallopian tube,1.0	tube gerd,1.0	tube 22cm,1.0	tube misting,1.0	trachestomy tube,1.0	tube clearence,1.0	endotrahael tube,1.0	doboff tube,1.0	tube etco2,1.0	suctioed tube,1.0	tube issues,1.0	promode tube,1.0	redtop tube,1.0	tube clotty,1.0	cheat tube,1.0	source endotracheal,1.0	endotracheal tube,1.0	tube dis,1.0	tube extremities,1.0	jejunal tube,1.0	endotracheal,1.0	tube,1.0	2x15gm tube,1.0	naso tube,1.0	coronary tube,1.0	promode tube fdgs,1.0	15g tube,1.0	
epinephrine	multiple epinephrine,1.0	epinephrine status,1.0	epinephrine 1mg,1.0	x5 1mg epinephrine,1.0	epinephrine,1.0	epinephrine x5,1.0	epinephrine administrations,1.0	hypertension workup epinephrine,1.0	epinephrine x4,1.0	1mg epinephrine,1.0	shoulder 1mg epinephrine,1.0	workup epinephrine,1.0	multiple epinephrine administrations,1.0	5th epinephrine,1.0	atropine epinephrine,0.8622507592584595	epinephrine x5 rounds,0.8509886707551249	epi,0.8372175653357917	epinephrine 1mg io,0.8369442942409819	1mg epinephrine io,0.8369442942409819	epinephrine io x2,0.8369442942409819	epinephrine io,0.8369442942409819	administered epinephrine,0.8183311800794293	epinephrine administered x3,0.8183311800794293	epinephrine ivp,0.8007662042354787	1mg epinephrine ivp,0.8007662042354787	doses 1mg epinephrine,0.7886008531199333	epinephrine doses,0.7886008531199333	epinephrine administered io,0.7701836495469409	epinephrine drip,0.762854974760256	epinephrine drips,0.7609642879390082	epinephrine dopamine,0.7582913898185131	workup epinephrine dopamine,0.7582913898185131	epinephrine dopamine metanephrine,0.7582913898185131	racemic epinephrine,0.7502993031848417	intravenous epinephrine,0.7476340682361751	epinephrine administered ivp,0.7460649228766053	1mg epi administered,0.7369399627473252	4th epi administered,0.7369399627473252	epinephrine mg,0.7335293873282792	epinephrine mg x3,0.7335293873282792	epinephrine milrinone,0.7332921962194255	atropine,0.724501518516919	epinephrine iv,0.7169006080209138	epinephrine 1mg iv,0.7169006080209138	epi administered io,0.7159228379922048	ml racemic epinephrine,0.7070484711516776	resident rounds,0.7019773415102497	rounds,0.7019773415102497	total rounds epinephrine,0.6953514196890479	epinephrine slow,0.6944113764524373	
fentanyl	100mcg fentanyl,1.0	100mcg fentanyl spread,1.0	ug fentanyl,1.0	fentanyl x2,1.0	fentanyl 500mcq,1.0	500cc fentanyl,1.0	fentanyl dispatched,1.0	100mcg fentanyl x2,1.0	50mg fentanyl,1.0	50mic fentanyl,1.0	fentanyl 100mcg administeredover,1.0	home fentanyl,1.0	1st fentanyl,1.0	x1 fentanyl,1.0	fentanyl 100mg,1.0	fentanyl x1,1.0	fentanyl pathces,1.0	80mcg fentanyl,1.0	fentanyl bollus,1.0	25mic fentanyl,1.0	250mcg fentanyl,1.0	fentanyl zophran rofecoxib,1.0	75mcg fentanyl,1.0	o2 fentanyl,1.0	fentanyl 125mcgs,1.0	pimozide fentanyl,1.0	fentanyl 200mcgs,1.0	fentanyl 60mcg,1.0	o2 200mcg fentanyl,1.0	initial fentanyl,1.0	25mcg fentanyl,1.0	fentanyl 90mcg,1.0	streptomycin fentanyl,1.0	100mcgs fentanyl,1.0	15mcg fentanyl,1.0	50mcgs fentanyl,1.0	fentanyl found broken,1.0	fentanyl 200mcg,1.0	fentanyl bolluses,1.0	50mcg fentanyl,1.0	c fentanyl bolluses,1.0	fentanyl 100mcg,1.0	neg 500cc fentanyl,1.0	pimozide fentanyl zophran,1.0	case fentanyl,1.0	fentanyl zophran,1.0	2nd fentanyl,1.0	fentanyl 25mcg,1.0	fentanyl 50mcg,1.0	200mcg fentanyl,1.0	
geodon	geodon 20mg,1.0	20mg geodon,1.0	geodon,1.0	geodon seroquel,0.8001191607990451	benadryl,0.732862317347357	week benadryl,0.732862317347357	geodon prn,0.7234733183519535	haldol,0.7233166275979377	qd geodon,0.710331502274576	geodon po,0.7101324502771096	10mg dexamethasone,0.6908771746697523	dexamethasone requesting,0.6908771746697523	pulse dexamethasone,0.6908771746697523	dexamethasone 10mg,0.6908771746697523	and10mg dexamethasone,0.6908771746697523	9mg dexamethasone,0.6908771746697523	dexamethasone m,0.6908771746697523	dexamethasone 5mg,0.6908771746697523	8mg dexamethasone,0.6908771746697523	dexamethasone,0.6908771746697523	dexamethasone deferred,0.6908771746697523	glucagon emergency,0.6872230775688515	1mg glucagon,0.6872230775688515	1g glucagon,0.6872230775688515	staff afministered glucagon,0.6872230775688515	1gm glucagon,0.6872230775688515	glucagon 1mg,0.6872230775688515	post glucagon,0.6872230775688515	glucagon,0.6872230775688515	geodon seroquel prn,0.6823949861006656	geodon administered upper,0.674214043503081	diphenhydramine showed positive,0.6661156949662285	diphenhydramine whe,0.6661156949662285	diphenhydramine m,0.6661156949662285	diphenhydramine admit diagnosis,0.6661156949662285	reports 50mg diphenhydramine,0.6661156949662285	10mg diphenhydramine,0.6661156949662285	diphenhydramine admit,0.6661156949662285	diphenhydramine showed,0.6661156949662285	diphenhydramine 25mg,0.6661156949662285	diphenhydramine,0.6661156949662285	diphenhydramine 50mg,0.6661156949662285	25mg diphenhydramine,0.6661156949662285	50mg diphenhydramine,0.6661156949662285	mg geodon,0.6647980457551841	geodon mg,0.6647980457551841	restart geodon,0.6644179448487829	intranasal,0.6531197789874723	klonopin,0.6473272174797611	pain ativan,0.643728759182399	
glucagon	glucagon emergency,1.0	1mg glucagon,1.0	1g glucagon,1.0	staff afministered glucagon,1.0	1gm glucagon,1.0	glucagon 1mg,1.0	post glucagon,1.0	glucagon,1.0	midazolam admit diagnosis,0.8022005791822786	2mg midazolam,0.8022005791822786	midazolam admit,0.8022005791822786	midazolam 2mg,0.8022005791822786	midazolam 5mg,0.8022005791822786	1mg midazolam,0.8022005791822786	midazolam,0.8022005791822786	5mg midazolam,0.8022005791822786	administer glucagon,0.797444843322668	versed,0.7859630297277391	administered 1mg glucagon,0.762365874790205	glucagon administered 1mg,0.762365874790205	iv glucagon,0.739900636386099	glucagon iv,0.739900636386099	narcan adminsitration,0.7317275977511697	post narcan administrations,0.7317275977511697	narcan pharmacology,0.7317275977511697	narcan wearing,0.7317275977511697	narcan x2,0.7317275977511697	narcan administerd,0.7317275977511697	narcan 2mg,0.7317275977511697	post narcan pulmonary,0.7317275977511697	diaphoretic post narcan,0.7317275977511697	narcan administrations,0.7317275977511697	narcan 4mg,0.7317275977511697	denied narcan,0.7317275977511697	unused narcan,0.7317275977511697	narcan works,0.7317275977511697	narcan showed,0.7317275977511697	narcan compared,0.7317275977511697	narcan possibly,0.7317275977511697	narcan \,0.7317275977511697	subject narcan,0.7317275977511697	narcan early,0.7317275977511697	4mg narcan,0.7317275977511697	“ narcan,0.7317275977511697	reexplained narcan,0.7317275977511697	narcan neurological,0.7317275977511697	1mg narcan,0.7317275977511697	numerous narcan,0.7317275977511697	epies narcan,0.7317275977511697	d50 narcan,0.7317275977511697	
ipratropium	q6h ipratropium,1.0	ipratropium,1.0	ipratropium bromide,0.9504628253789926	q6h ipratropium bromide,0.9504628253789926	bromide,0.9009256507579854	albuterol ipratropium,0.8892350985794455	bromide nebulized,0.8548029180601138	ipratropium nebulizer,0.8403445348619262	inhaled ipratropium,0.8259324847035779	nebulized,0.8086801853622421	ipratropium bromide neb,0.806277838719916	x3 nebulized albuterol,0.7935751912605664	nebulized albuterol mixed,0.7935751912605664	nebulized albuterol,0.7935751912605664	regular albuterol,0.7784701971588909	bilateral albuterol,0.7784701971588909	albuterol nebulizes,0.7784701971588909	pain albuterol nebulizes,0.7784701971588909	albuterol pmh,0.7784701971588909	q2hr albuterol,0.7784701971588909	tryed albuterol,0.7784701971588909	aware albuterol,0.7784701971588909	straight albuterol,0.7784701971588909	sfor albuterol,0.7784701971588909	line albuterol,0.7784701971588909	pain albuterol,0.7784701971588909	albuterol q2h,0.7784701971588909	albuterol x2,0.7784701971588909	10pm albuterol,0.7784701971588909	5mg albuterol due,0.7784701971588909	albuterol enroute,0.7784701971588909	dueoneb albuterol,0.7784701971588909	albuterol c,0.7784701971588909	q4h albuterol,0.7784701971588909	albuterol 5mg,0.7784701971588909	repeat albuterol,0.7784701971588909	albuterol multiple,0.7784701971588909	x3 albuterol,0.7784701971588909	5mg albuterol enroute,0.7784701971588909	1x albuterol,0.7784701971588909	5mg albuterol,0.7784701971588909	numerous albuterol,0.7784701971588909	albuterol 5mg x2,0.7784701971588909	albuterol due,0.7784701971588909	albuterol en,0.7784701971588909	tapia albuterol,0.7784701971588909	repeated albuterol,0.7784701971588909	10mgs albuterol,0.7784701971588909	q6h albuterol,0.7784701971588909	albuterol today,0.7784701971588909	
magnesium sulfate	magnesium hydrocet,1.0	magnesium due,1.0	magnesium 2mg,1.0	2g magnesium sulfate,1.0	sulfate 2g,1.0	magnesium,1.0	house officer magnesium,1.0	2gms magnesium,1.0	hyoscyamine sulfate,1.0	tidferrous sulfate,1.0	sulfate 2gms,1.0	magnesium sulfate,1.0	2000mg magnesium,1.0	significant magnesium,1.0	terbutaline sulfate,1.0	sulfate,1.0	2mg magnesium,1.0	magnesium sulphate,1.0	officer magnesium,1.0	magnesium 2g,1.0	choline magnesium trisalicylate,1.0	2g magnesium,1.0	sulfate 325mg,1.0	magnesium trisalicylate,1.0	co2 magnesium,1.0	magnisium sulfate,1.0	sulfate 1mg,1.0	sulfate admit diagnosis,1.0	magnesium hydr9oxide,1.0	magnesium dissolved,1.0	view magnesium,1.0	sulfate 300mg,1.0	sulfate admit,1.0	magnesium sulfate 2g,1.0	aware magnesium,1.0	2gms magnesium sulfate,1.0	sulfate deltasone,1.0	penbutolol sulfate,1.0	dextroamphetamine sulfate,1.0	magnesium 2g x1,1.0	choline magnesium,1.0	calcium magnesium,0.9069539719729185	mag sulfate,0.9004753117060569	mag sulfate 2g,0.9004753117060569	2g mag sulfate,0.9004753117060569	mag sulfate 2gms,0.9004753117060569	2gms mag sulfate,0.9004753117060569	arrives ferrous sulfate,0.8942499572397954	ferrous sulfate,0.8942499572397954	ferrous sulfate admit,0.8942499572397954	
metered dose inhaler	dose 600mg,1.0	selection dose,1.0	1st dose,1.0	coumadine dose,1.0	dose 3am,1.0	stable dose,1.0	dose reductions,1.0	la dose,1.0	totalo dose,1.0	asmol inhaler,1.0	inhaler refill,1.0	8pm dose,1.0	dose inhaler,1.0	personal inhaler,1.0	adult dose,1.0	laxi dose,1.0	region dose,1.0	sysco tamarce dose,1.0	inhaler 2x,1.0	umbilical region dose,1.0	albertol inhaler,1.0	inhaler x8,1.0	inhaler numerous,1.0	3rd dose,1.0	dose neuronitni,1.0	dose q3days,1.0	metered,1.0	dose dose,1.0	dose halved,1.0	inhaler 2puff,1.0	inhaler,1.0	moms inhaler,1.0	secomnd dose,1.0	actual dose,1.0	reasurred dose,1.0	25mg dose,1.0	dose 4pm,1.0	80mcg inhaler,1.0	dose readjusted,1.0	outpatinet dose,1.0	qvar inhaler,1.0	normal dose,1.0	inhaler x1,1.0	dose retavase,1.0	dose titerated,1.0	dose colase,1.0	120meq dose,1.0	2nd dose,1.0	4am dose,1.0	12mg dose,1.0	
midazolam	midazolam admit diagnosis,1.0	2mg midazolam,1.0	midazolam admit,1.0	midazolam 2mg,1.0	midazolam 5mg,1.0	1mg midazolam,1.0	midazolam,1.0	5mg midazolam,1.0	versed,0.8448842069084033	ondansetron,0.8212172608697957	2mg ondansetron,0.8212172608697957	4mg ondansetron,0.8212172608697957	ondansetron 4mg,0.8212172608697957	ondansetron 2mg,0.8212172608697957	naloxone 2mg,0.813220869531226	naloxone autoinjector,0.813220869531226	2mg naloxone,0.813220869531226	naloxone 2mgx2,0.813220869531226	naloxone 1mg,0.813220869531226	naloxone x2,0.813220869531226	1mg naloxone,0.813220869531226	naloxone,0.813220869531226	1mg glucagon,0.8022005791822786	1g glucagon,0.8022005791822786	staff afministered glucagon,0.8022005791822786	1gm glucagon,0.8022005791822786	glucagon 1mg,0.8022005791822786	glucagon,0.8022005791822786	glucagon bgl,0.8022005791822786	midazolam intranasal,0.8000831347769639	intranasal midazolam,0.8000831347769639	midazolam ivp,0.7974550430363416	fentanyl midazolam,0.7911451469732479	streptomycin fentanyl midazolam,0.7911451469732479	fentanyl midazolam admit,0.7911451469732479	midazolam medication,0.7404382196219492	narcan adminsitration,0.7374229045365451	narcan pharmacology,0.7374229045365451	narcan wearing,0.7374229045365451	narcan x2,0.7374229045365451	narcan administerd,0.7374229045365451	narcan 2mg,0.7374229045365451	narcan wears,0.7374229045365451	aka narcan,0.7374229045365451	narcan administrations,0.7374229045365451	narcan 4mg,0.7374229045365451	denied narcan,0.7374229045365451	unused narcan,0.7374229045365451	narcan works,0.7374229045365451	narcan compared,0.7374229045365451	
morphine	morphine admit diagnosis,1.0	morphine x3,1.0	10mg morphine,1.0	morphine feldene,1.0	5mg morphine x2,1.0	morphine 3mg,1.0	q24h morphine,1.0	morphine 2mg,1.0	sulfas morphine,1.0	morphine x2 past,1.0	morphine,1.0	morphine x2,1.0	5mg morphine,1.0	morphine causing mental,1.0	2mg morphine x2,1.0	q12h morphine 15mg,1.0	5mg morphine 2mg,1.0	morphine 1mg,1.0	morphine 30mg,1.0	morphine 15mg,1.0	morphine discharge,1.0	morphine ”,1.0	morphine causing,1.0	4mg morphine,1.0	morphine 5mg,1.0	perfume morphine,1.0	cough morphine,1.0	morphine 30mg q12hr,1.0	lower morphine,1.0	2mg morphine,1.0	perfume morphine feldene,1.0	morphine admit,1.0	morphine 2mg x2,1.0	morphine 3mg repeat,1.0	30mg morphine admit,1.0	morphine number,1.0	morphine today,1.0	breath morphine,1.0	25mg morphine 2mg,1.0	morphine 2mg x1,1.0	morphine x1,1.0	morphine 1mg x2,1.0	6mg morphine,1.0	30mg morphine,1.0	1mg morphine,1.0	spinal morphine,1.0	q12h morphine,1.0	morphine ” “,1.0	25mg morphine,1.0	morphine.,1.0	
narcan	narcan adminsitration,1.0	post narcan administrations,1.0	narcan pharmacology,1.0	narcan x2,1.0	narcan administerd,1.0	narcan 2mg,1.0	post narcan pulmonary,1.0	diaphoretic post narcan,1.0	aka narcan,1.0	narcan administrations,1.0	narcan 4mg,1.0	denied narcan,1.0	unused narcan,1.0	narcan works,1.0	narcan compared,1.0	narcan \,1.0	narcan early,1.0	4mg narcan,1.0	“ narcan,1.0	reexplained narcan,1.0	2mg narcan piv,1.0	1mg narcan,1.0	numerous narcan,1.0	epies narcan,1.0	d50 narcan,1.0	post narcan,1.0	2mg narcan 1mg,1.0	narcan piv,1.0	2x narcan,1.0	05mg narcan,1.0	2nd narcan,1.0	aftern narcan,1.0	3mg narcan,1.0	5mg narcan,1.0	narcan 1mg,1.0	reexplained narcan pharmacology,1.0	narcan pulmonary,1.0	4th narcan,1.0	narcan bp,1.0	narcan nassal,1.0	narcan cardiovascular,1.0	narcan,1.0	2mg narcan,1.0	naloxone 2mg,0.8185665407081075	post naloxone,0.8185665407081075	secondary naloxone,0.8185665407081075	naloxone autoinjector,0.8185665407081075	2mg naloxone,0.8185665407081075	naloxone 2mgx2,0.8185665407081075	naloxone 1mg,0.8185665407081075	
nasopharyngeal airway	airway scoring,1.0	airway t,1.0	obstruct airway,1.0	ltds airway,1.0	nasopharyngeal airway,1.0	airway •,1.0	patnet airway,1.0	o2 airway,1.0	airway maintenance,1.0	airway visualizing,1.0	airway obsctructed,1.0	22french nasopharyngeal airway,1.0	airway patet,1.0	airway potection,1.0	narrow airway,1.0	airway,1.0	28fr nasopharyngeal,1.0	airway suctions 16g,1.0	airway concern,1.0	lower airway,1.0	airway 26f,1.0	airway 90mm,1.0	airway concerns,1.0	worsening airway,1.0	nasopharyngeal airway prior,1.0	female airway,1.0	28fr nasopharyngeal airway,1.0	mentioned airway,1.0	nasopharyngeal airway 26f,1.0	supraglottic airway,1.0	airway ’,1.0	paten airway,1.0	airway snore,1.0	airway maintaince,1.0	airway suctions,1.0	severe airway,1.0	airway overflowing,1.0	airway adjuncts,1.0	nasopharyngeal,1.0	airway.,1.0	nassal airway,1.0	chronic airway,1.0	30fr nasopharyngeal airway,1.0	airway problems,1.0	airway status,1.0	airway problem,1.0	• airway,1.0	ox4 airway,1.0	usual airway,1.0	tx airway,1.0	
nitroglycerin	intracoronary nitroglycerin,1.0	mda nitroglycerin,1.0	q8h nitroglycerin,1.0	325mg nitroglycerin,1.0	nitroglycerin family,1.0	overaggressive nitroglycerin,1.0	nitroglycerin family history,1.0	1inch nitroglycerin,1.0	md aware nitroglycerin,1.0	ho nitroglycerin,1.0	ho aware nitroglycerin,1.0	cad nitroglycerin,1.0	wall nitroglycerin,1.0	lethargic nitroglycerin,1.0	aware nitroglycerin,1.0	nitroglycerin contraindicated due,1.0	nitroglycerin contraindicated,1.0	325mg nitroglycerin x3,1.0	nitroglycerin tables,1.0	nitroglycerin,1.0	htn nitroglycerin,1.0	ublingual nitroglycerin,1.0	fresh nitroglycerin,1.0	nitroglycerin sublingual q5,0.9250760349424046	sublingual nitroglycerin tables,0.9250760349424046	eye sublingual nitroglycerin,0.9250760349424046	nitroglycerin sublingual,0.9250760349424046	sublingual nitroglycerin,0.9250760349424046	nitroglycerin sl x2,0.8626099674489022	sl nitroglycerin,0.8626099674489022	nitroglycerin ntg,0.860525730639405	multiple sublingual,0.8501520698848093	sublingual nitroglycerines,0.8501520698848093	roxanol sublingual,0.8501520698848093	sublingual trinitroglycerin,0.8501520698848093	sublingual q5min,0.8501520698848093	sublingual x2,0.8501520698848093	sublingual vessels,0.8501520698848093	sublingual,0.8501520698848093	sublingual q5min x3,0.8501520698848093	sublingual nitrogen,0.8501520698848093	sublingual q5,0.8501520698848093	eye sublingual,0.8501520698848093	x2 sublingual,0.8501520698848093	sublingual q5m,0.8501520698848093	sublingual nitrogens,0.8501520698848093	sublingual x3,0.8501520698848093	sublingual sublingual,0.8501520698848093	x1 sublingual,0.8501520698848093	sublingual nitros,0.8501520698848093	
normal saline	6months ago normal,1.0	saline.,1.0	10ml saline,1.0	20cc normal,1.0	orifices normal,1.0	normal female,1.0	1500cc normal saline,1.0	5cc saline,1.0	ran normal,1.0	normal t3,1.0	advises ate normal,1.0	1000ml saline,1.0	normal reaction,1.0	750cc normal,1.0	normal libido,1.0	normal active,1.0	normal etoh consumption,1.0	1200cc normal,1.0	scene reports normal,1.0	normal curvutre,1.0	impotence normal prolactin,1.0	normal polychrom,1.0	750ml normal,1.0	normal medicinal,1.0	900ml normal,1.0	proves normal,1.0	normal co2,1.0	normal corroborating,1.0	250ml normal,1.0	normal postpartum,1.0	saline q4h,1.0	normal episodes,1.0	ate normal,1.0	reported normal,1.0	diabetes mellitus normal,1.0	1000cc normal saline,1.0	normal syntax,1.0	saline q4,1.0	normal saline,1.0	absolutely normal,1.0	50cc saline,1.0	normal petco2,1.0	normal fremitus,1.0	normal podiatry,1.0	normal ob visits,1.0	1400cc normal saline,1.0	normal asthma attack,1.0	saline 250ml,1.0	normal medications,1.0	normal ureth,1.0	
ondansetron	ondansetron,1.0	2mg ondansetron,1.0	4mg ondansetron,1.0	ondansetron 4mg,1.0	ondansetron 2mg,1.0	zofran,0.8334768840635968	zofran 8mg,0.8334768840635968	midazolam admit diagnosis,0.8212172608697957	2mg midazolam,0.8212172608697957	midazolam admit,0.8212172608697957	midazolam 2mg,0.8212172608697957	nsr midazolam,0.8212172608697957	midazolam respirations,0.8212172608697957	midazolam 5mg,0.8212172608697957	1mg midazolam,0.8212172608697957	midazolam,0.8212172608697957	5mg midazolam,0.8212172608697957	nsr midazolam 5mg,0.8212172608697957	ondansetron morphine,0.8002484355552006	ondansetron morphine htn,0.8002484355552006	ondansetron ivp,0.788978564871756	4mg ondansetron ivp,0.788978564871756	naloxone 2mg,0.7825226044513974	naloxone autoinjector,0.7825226044513974	2mg naloxone,0.7825226044513974	naloxone 2mgx2,0.7825226044513974	naloxone 1mg,0.7825226044513974	naloxone x2,0.7825226044513974	1mg naloxone,0.7825226044513974	repeat naloxone,0.7825226044513974	naloxone,0.7825226044513974	ondansetron medication,0.7334240155337736	1mg glucagon,0.7313542292913825	1g glucagon,0.7313542292913825	staff afministered glucagon,0.7313542292913825	1gm glucagon,0.7313542292913825	glucagon 1mg,0.7313542292913825	glucagon,0.7313542292913825	glucagon bgl,0.7313542292913825	hydralazine ondansetron,0.7057769752103479	epinepherine,0.705237607870965	midazolam ivp,0.6995871953066539	versed,0.6935448954914449	push,0.6886671625057144	ondansetron administered ivp,0.688020841231214	ondansetron administration,0.6868098912003882	ondansetron prn,0.6851475591628382	mg ondansetron,0.6840169988290076	ondansetron mg q6h,0.6840169988290076	ondansetron mg,0.6840169988290076	
oral glucose	intial glucose,1.0	oral hyperglycemics,1.0	30g strawberry glucose,1.0	oral glycemics,1.0	glucose returns,1.0	“ glucose,1.0	oral glucose 30gms,1.0	glucose monitorin,1.0	oral antihypocglycaemics,1.0	oral glucose x2,1.0	glucose x2,1.0	15grms oral glucose,1.0	major glucose,1.0	oral anticoagulants,1.0	glucose glucose,1.0	15mg oral glucose,1.0	extensive oral,1.0	glucose x2 15gms,1.0	oral cyanosis,1.0	30gms oral glucose,1.0	recent glucose,1.0	oral dyslipidemia,1.0	provided oral,1.0	glucose 15gms x2,1.0	5gms oral glucose,1.0	15gm oral,1.0	severe oral,1.0	glucose 30g,1.0	glucose rbg,1.0	glucose 9l,1.0	glucose administeredx3,1.0	324mg oral,1.0	30g oral,1.0	30gms oral,1.0	progressive oral,1.0	oral cancer,1.0	glucose 142h,1.0	oral source,1.0	history glucose,1.0	oral trauma,1.0	glucose 15gms,1.0	iowa oral,1.0	glucose is120,1.0	oral,1.0	copius oral,1.0	oral antihyperglycemics,1.0	oral anatomy,1.0	30grams oral,1.0	acute oral,1.0	oral glucose 15g,1.0	
oxygen	small oxygen,1.0	2l oxygen,1.0	declines oxygen,1.0	supllemental oxygen,1.0	oxygen unknown,1.0	moistened oxygen,1.0	8lpm oxygen,1.0	esr oxygen,1.0	20s oxygen,1.0	10l oxygen,1.0	oxygen source,1.0	o2 oxygen,1.0	oxygen hypothyroidism,1.0	oxygen fio2,1.0	ait oxygen,1.0	oxygen 4l,1.0	oxygen gc,1.0	2lpm oxygen,1.0	8l oxygen,1.0	inital oxygen,1.0	oxygen 15l,1.0	portal oxygen,1.0	exogenous oxygen,1.0	6l oxygen,1.0	oxygen 3lpm,1.0	oxygen saturatons,1.0	suppplemental oxygen,1.0	oxygen 10lpm,1.0	oxygen lph,1.0	pco2 po2 oxygen,1.0	oxygen 15lpm,1.0	oxygen 2lpm,1.0	po2 oxygen,1.0	supplementary oxygen,1.0	oxygen 6lpm,1.0	oxygen requirment,1.0	oxygen system strewn,1.0	oxygen bottle,1.0	oxygen,1.0	oxygen sataution,1.0	3l oxygen,1.0	15lpm oxygen adminisration,1.0	hasincreasein oxygen,1.0	nighttime oxygen,1.0	oxygen p,1.0	3lpm supllemental oxygen,1.0	oxygen supplements,1.0	oxygen hypothyroidism depression,1.0	oxygen 3l,1.0	20lpm oxygen,1.0	
physical restraint	denies physical,1.0	lacks physical,1.0	physical exhaustion,1.0	neg physical,1.0	physical operative,1.0	physical state,1.0	rash physical,1.0	restraint,1.0	allergic physical,1.0	physical presentation,1.0	hctz physical,1.0	myalgia physical,1.0	polydipsia physical,1.0	rochealesall wia physical,1.0	hobby physical,1.0	physical disimpaction,1.0	v4 m5 physical,1.0	physical observations,1.0	lare stin physical,1.0	ago physical,1.0	prn insomnia physical,1.0	receive physical,1.0	taking physical,1.0	history physical operative,1.0	received chest physical,1.0	physical reab,1.0	oxybutin physical,1.0	arthritis physical,1.0	physical aggression,1.0	pta physical,1.0	s physical,1.0	wia physical,1.0	m5 physical,1.0	denies cad physical,1.0	treatments chest physical,1.0	meals physical,1.0	physical impairement,1.0	chest physical,1.0	admitting physical,1.0	54kg physical,1.0	cns physical,1.0	physical examinaton,1.0	recently started physical,1.0	physical status,1.0	physical history,1.0	htn physical,1.0	physical movement,1.0	physical capacity,1.0	years ago physical,1.0	physical barriers,1.0	
recovery position	renal recovery,1.0	fathers recovery,1.0	l2 position,1.0	position hugging,1.0	unnatural position,1.0	recovery pcp,1.0	thi position,1.0	position lungs,1.0	awkward position,1.0	recovery,1.0	position x1,1.0	atn recovery,1.0	position aound,1.0	hr recovery,1.0	recovery position,1.0	states position,1.0	position ”,1.0	mitral position,1.0	folwers position,1.0	current position,1.0	flowlers position,1.0	position readjusted,1.0	supin position,1.0	trendelenburg position,1.0	position somone,1.0	recombant position,1.0	position phallus,1.0	position c,1.0	crouched position,1.0	position,1.0	position x1 week,1.0	lasix position,1.0	trendlenbourg position,1.0	position aound today,1.0	abnormal position,1.0	position gu,1.0	semi flowlers position,0.7855622896360208	semi folwers position,0.7855622896360208	uneventful recovery,0.7612520181318985	laying recovery position,0.7587679349680062	fowlers position,0.749050952964649	fowler position,0.7262829815125122	flowlers position seat,0.7204070247423542	seat position,0.7204070247423542	position seat,0.7204070247423542	upright position,0.7193736796637716	chair position,0.7175532608442542	recovery period,0.713389247848329	position rails,0.693983294242556	surgical recovery,0.6914857613064561	
